index,City,Date,Card Type,Exp Type,Gender,Amount,Customer_Age,Education_Level,Marital_Status
40,"Delhi, India",27-Oct-13,Platinum,Bills,F,678842,45,Graduate,Single
41,"Delhi, India",11-May-14,Gold,Bills,F,478861,51,Unknown,Married
42,"Bengaluru, India",10-Nov-14,Platinum,Bills,F,804938,50,College,Single
43,"Delhi, India",30-Jan-15,Silver,Bills,F,888341,49,High School,Married
44,"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414,38,Graduate,Single
45,"Bengaluru, India",08-Sep-14,Gold,Bills,F,249353,49,Uneducated,Single
46,"Ahmedabad, India",10-Dec-13,Gold,Bills,F,892016,56,Doctorate,Married
47,"Ahmedabad, India",04-Nov-13,Platinum,Bills,F,313626,59,Doctorate,Married
48,"Greater Mumbai, India",01-Jun-14,Gold,Bills,F,314366,46,High School,Married
49,"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,551340,52,College,Single
50,"Delhi, India",04-Oct-13,Signature,Bills,F,735037,52,Unknown,Married
51,"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,574023,54,Graduate,Married
52,"Ahmedabad, India",21-Dec-13,Signature,Bills,F,402300,66,High School,Married
53,"Delhi, India",07-Dec-13,Signature,Bills,F,733125,49,Unknown,Married
54,"Greater Mumbai, India",07-Feb-14,Signature,Bills,F,545977,56,Graduate,Married
55,"Bengaluru, India",13-May-15,Silver,Bills,F,371572,49,Graduate,Unknown
56,"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283,49,Graduate,Single
57,"Delhi, India",09-Dec-14,Platinum,Bills,F,279051,56,Uneducated,Married
58,"Delhi, India",08-Oct-13,Platinum,Bills,F,900101,44,Graduate,Married
59,"Ahmedabad, India",24-Apr-14,Silver,Bills,F,545286,42,High School,Single
60,"Delhi, India",13-Jan-15,Platinum,Bills,F,722587,55,Unknown,Married
61,"Bengaluru, India",14-Mar-14,Platinum,Bills,F,411062,48,Graduate,Married
62,"Delhi, India",27-Feb-14,Platinum,Bills,F,660910,39,High School,Divorced
63,"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,557370,44,Post-Graduate,Single
64,"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,549794,53,High School,Single
65,"Delhi, India",23-Jan-14,Platinum,Bills,F,340133,51,Uneducated,Single
66,"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417,57,College,Married
67,"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185,44,Uneducated,Single
68,"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,991685,49,Graduate,Married
69,"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,533762,50,Doctorate,Married
70,"Greater Mumbai, India",08-May-14,Gold,Bills,F,829742,51,Graduate,Single
71,"Delhi, India",18-Feb-14,Silver,Bills,F,441527,55,Graduate,Married
72,"Delhi, India",04-Oct-13,Signature,Bills,F,550782,54,Graduate,Unknown
73,"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,835872,42,Uneducated,Married
74,"Ahmedabad, India",24-Aug-14,Silver,Bills,F,540497,44,College,Single
75,"Greater Mumbai, India",02-Apr-15,Platinum,Bills,F,525977,53,Graduate,Single
76,"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,789393,44,Graduate,Single
77,"Greater Mumbai, India",06-Feb-15,Platinum,Bills,F,689478,37,Uneducated,Single
78,"Bengaluru, India",29-Mar-14,Silver,Bills,F,499079,49,Graduate,Divorced
79,"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,665107,47,Graduate,Married
80,"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,998077,47,Graduate,Married
81,"Ahmedabad, India",02-Feb-14,Silver,Bills,F,934205,44,Unknown,Unknown
82,"Bengaluru, India",01-Apr-15,Platinum,Bills,F,823426,55,Unknown,Married
83,"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910,59,Graduate,Married
84,"Bengaluru, India",27-Mar-14,Gold,Bills,F,418675,53,Graduate,Divorced
85,"Ahmedabad, India",17-Feb-15,Silver,Bills,F,804949,52,Graduate,Married
86,"Bengaluru, India",10-Feb-15,Gold,Bills,F,686601,53,High School,Single
87,"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,561220,43,Uneducated,Single
88,"Greater Mumbai, India",07-May-15,Gold,Bills,F,762534,44,High School,Single
89,"Bengaluru, India",05-Jan-14,Gold,Bills,F,327947,57,Unknown,Married
90,"Bengaluru, India",07-Apr-14,Gold,Bills,F,492986,51,High School,Single
91,"Delhi, India",20-Feb-15,Signature,Bills,F,369237,49,High School,Single
92,"Bengaluru, India",19-Jan-15,Platinum,Bills,F,983839,45,Graduate,Single
93,"Ahmedabad, India",14-Nov-14,Gold,Bills,F,776716,53,Graduate,Single
94,"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,664632,45,Unknown,Married
95,"Bengaluru, India",03-Feb-15,Gold,Bills,F,466727,64,Graduate,Married
96,"Bengaluru, India",01-Nov-13,Gold,Bills,F,896384,45,Graduate,Married
97,"Delhi, India",07-Dec-13,Signature,Bills,F,712001,53,Doctorate,Married
98,"Greater Mumbai, India",05-Aug-14,Silver,Bills,F,246865,56,College,Married
99,"Greater Mumbai, India",08-Jan-15,Signature,Bills,F,858729,47,Unknown,Married
100,"Delhi, India",11-Apr-15,Platinum,Bills,F,581882,49,College,Single
101,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,646426,41,Unknown,Married
102,"Bengaluru, India",24-Mar-15,Silver,Bills,F,687088,53,Graduate,Married
103,"Bengaluru, India",13-Oct-13,Signature,Bills,F,973026,44,Graduate,Single
104,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398,44,High School,Unknown
105,"Ahmedabad, India",09-Nov-14,Platinum,Bills,F,414422,43,Post-Graduate,Married
106,"Bengaluru, India",04-Feb-15,Signature,Bills,F,408503,53,Post-Graduate,Single
107,"Bengaluru, India",06-Mar-14,Signature,Bills,F,984466,44,Uneducated,Married
108,"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,919997,62,Unknown,Married
109,"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,535101,54,Unknown,Divorced
110,"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,978301,57,Graduate,Married
111,"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,880406,42,Unknown,Married
112,"Ahmedabad, India",14-Nov-14,Silver,Bills,F,447241,42,High School,Divorced
113,"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191,54,Uneducated,Married
114,"Bengaluru, India",15-May-15,Silver,Bills,F,775859,48,Graduate,Single
115,"Bengaluru, India",21-Mar-14,Platinum,Bills,F,832637,49,Graduate,Single
116,"Bengaluru, India",03-Apr-15,Platinum,Bills,F,458526,52,High School,Unknown
117,"Ahmedabad, India",06-Apr-15,Signature,Bills,F,440995,50,High School,Single
118,"Ahmedabad, India",05-Nov-13,Platinum,Bills,F,490128,49,Doctorate,Married
119,"Delhi, India",07-Oct-13,Platinum,Bills,F,897079,53,High School,Married
120,"Delhi, India",31-Oct-14,Gold,Bills,F,431948,50,Graduate,Single
121,"Bengaluru, India",03-Apr-14,Silver,Bills,F,228072,55,Doctorate,Married
122,"Delhi, India",21-Nov-13,Gold,Bills,F,757649,53,High School,Married
123,"Delhi, India",11-May-14,Signature,Bills,F,919877,47,High School,Single
124,"Greater Mumbai, India",23-May-14,Gold,Bills,F,605615,55,College,Single
125,"Bengaluru, India",22-May-15,Platinum,Bills,F,500852,47,Graduate,Single
126,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,488136,58,Graduate,Single
127,"Delhi, India",16-Jun-14,Gold,Bills,F,937828,53,Graduate,Married
128,"Delhi, India",27-Jan-14,Gold,Bills,F,315873,52,High School,Single
129,"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623,50,Uneducated,Unknown
130,"Greater Mumbai, India",29-Oct-13,Platinum,Bills,F,555123,42,Graduate,Married
131,"Bengaluru, India",20-Apr-14,Gold,Bills,F,498843,43,Unknown,Married
132,"Greater Mumbai, India",23-May-14,Silver,Bills,F,752610,57,Graduate,Married
133,"Greater Mumbai, India",11-Mar-15,Platinum,Bills,F,494540,52,Graduate,Married
134,"Delhi, India",27-Oct-13,Gold,Bills,F,996754,47,Doctorate,Single
135,"Ahmedabad, India",14-Jul-14,Signature,Bills,F,245572,44,Graduate,Single
136,"Delhi, India",18-Apr-14,Gold,Bills,F,974384,53,High School,Divorced
137,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,846635,45,College,Divorced
138,"Ahmedabad, India",01-Sep-14,Silver,Bills,F,635473,63,College,Married
139,"Delhi, India",23-Mar-15,Gold,Bills,F,224510,39,Post-Graduate,Single
140,"Delhi, India",24-Jan-15,Silver,Bills,F,478671,48,High School,Married
141,"Greater Mumbai, India",04-Oct-13,Gold,Bills,F,990700,51,Unknown,Single
142,"Delhi, India",14-Mar-14,Gold,Bills,F,228565,54,Graduate,Married
143,"Bengaluru, India",03-Jan-14,Silver,Bills,F,297732,59,Graduate,Single
144,"Greater Mumbai, India",03-Dec-14,Signature,Bills,F,559262,59,College,Single
145,"Bengaluru, India",01-Jul-14,Signature,Bills,F,809907,48,Uneducated,Married
146,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,428316,41,Graduate,Single
147,"Ahmedabad, India",05-Mar-14,Signature,Bills,F,275065,55,Graduate,Married
148,"Bengaluru, India",20-Apr-14,Silver,Bills,F,845653,47,Graduate,Married
149,"Ahmedabad, India",20-Nov-13,Signature,Bills,F,236296,41,High School,Married
150,"Bengaluru, India",25-Sep-14,Signature,Bills,F,440572,40,High School,Single
151,"Ahmedabad, India",06-Feb-15,Gold,Bills,F,478115,68,Graduate,Married
152,"Bengaluru, India",26-Oct-13,Gold,Bills,F,897621,50,Graduate,Single
153,"Greater Mumbai, India",06-May-15,Signature,Bills,F,554281,47,Uneducated,Single
154,"Delhi, India",30-Sep-14,Silver,Bills,F,245452,53,College,Married
155,"Delhi, India",17-Jan-14,Platinum,Bills,F,365045,42,Unknown,Married
156,"Greater Mumbai, India",11-Jan-15,Gold,Bills,F,496047,48,High School,Single
157,"Bengaluru, India",11-Feb-15,Silver,Bills,F,466814,49,Doctorate,Married
158,"Bengaluru, India",10-Nov-14,Gold,Bills,F,835177,44,Uneducated,Married
159,"Delhi, India",12-Jan-15,Silver,Bills,F,219698,43,Graduate,Divorced
160,"Bengaluru, India",18-Oct-14,Silver,Bills,F,784541,56,High School,Married
161,"Delhi, India",25-Oct-13,Signature,Bills,F,576994,59,College,Single
162,"Bengaluru, India",15-May-15,Gold,Bills,F,464663,46,Uneducated,Married
163,"Bengaluru, India",03-May-14,Platinum,Bills,F,380270,47,Unknown,Divorced
164,"Ahmedabad, India",02-Oct-14,Silver,Bills,F,772082,50,Uneducated,Married
165,"Delhi, India",09-Apr-15,Gold,Bills,F,230853,51,Uneducated,Married
166,"Bengaluru, India",06-Oct-13,Signature,Bills,F,677654,47,Uneducated,Married
167,"Greater Mumbai, India",05-Feb-14,Signature,Bills,F,929247,58,Uneducated,Married
168,"Ahmedabad, India",09-Apr-15,Platinum,Bills,F,851374,46,Graduate,Single
169,"Ahmedabad, India",19-Jan-14,Platinum,Bills,F,637600,53,High School,Married
170,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,681749,45,Uneducated,Divorced
171,"Delhi, India",25-Mar-14,Silver,Bills,F,847958,52,High School,Married
172,"Greater Mumbai, India",18-Feb-14,Gold,Bills,F,877569,53,Unknown,Married
173,"Ahmedabad, India",14-Oct-13,Platinum,Bills,F,450413,50,High School,Married
174,"Bengaluru, India",01-May-15,Signature,Bills,F,219041,41,High School,Married
175,"Bengaluru, India",31-Dec-14,Gold,Bills,F,866572,45,Graduate,Divorced
176,"Greater Mumbai, India",26-Mar-14,Signature,Bills,F,570791,53,Uneducated,Married
177,"Ahmedabad, India",28-Apr-14,Silver,Bills,F,705464,67,Graduate,Married
178,"Greater Mumbai, India",06-Apr-14,Signature,Bills,F,806821,57,Uneducated,Single
179,"Greater Mumbai, India",27-Mar-14,Platinum,Bills,F,515472,59,Uneducated,Married
180,"Ahmedabad, India",23-Sep-14,Silver,Bills,F,352207,45,Uneducated,Married
181,"Ahmedabad, India",04-Mar-15,Gold,Bills,F,342761,51,Graduate,Married
182,"Bengaluru, India",27-Feb-14,Signature,Bills,F,249099,59,Uneducated,Married
183,"Ahmedabad, India",27-Aug-14,Platinum,Bills,F,995634,53,Graduate,Married
184,"Bengaluru, India",12-Dec-14,Signature,Bills,F,435097,47,Graduate,Married
185,"Ahmedabad, India",16-Jun-14,Platinum,Bills,F,797815,49,Uneducated,Single
186,"Delhi, India",02-Jan-14,Gold,Bills,F,326922,49,Post-Graduate,Single
187,"Bengaluru, India",11-Dec-14,Gold,Bills,F,396241,60,College,Single
188,"Delhi, India",14-Dec-14,Gold,Bills,F,486949,50,High School,Married
189,"Greater Mumbai, India",17-Jan-14,Gold,Bills,F,333483,41,Post-Graduate,Married
190,"Ahmedabad, India",05-Oct-13,Platinum,Bills,F,612572,57,Graduate,Married
191,"Bengaluru, India",18-Mar-15,Silver,Bills,F,327244,43,Graduate,Unknown
192,"Ahmedabad, India",04-Feb-14,Silver,Bills,F,955468,57,Graduate,Married
193,"Greater Mumbai, India",25-Feb-15,Gold,Bills,F,927864,54,Doctorate,Married
194,"Delhi, India",28-Mar-14,Signature,Bills,F,555220,51,Post-Graduate,Married
195,"Delhi, India",28-Dec-14,Silver,Bills,F,952640,47,High School,Married
196,"Ahmedabad, India",31-May-14,Silver,Bills,F,695749,41,High School,Unknown
197,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,365724,53,Uneducated,Married
198,"Greater Mumbai, India",03-Mar-15,Platinum,Bills,F,738108,68,High School,Married
199,"Ahmedabad, India",17-Jan-15,Platinum,Bills,F,650785,59,College,Married
200,"Delhi, India",23-Oct-14,Signature,Bills,F,611486,48,Unknown,Married
201,"Bengaluru, India",05-Aug-14,Platinum,Bills,F,965721,44,Graduate,Married
202,"Ahmedabad, India",12-Oct-14,Gold,Bills,F,413052,48,College,Married
203,"Ahmedabad, India",22-Jan-14,Silver,Bills,F,584822,47,Graduate,Married
204,"Ahmedabad, India",25-Mar-15,Gold,Bills,F,980146,47,Graduate,Married
205,"Ahmedabad, India",10-Oct-14,Signature,Bills,F,926072,43,High School,Divorced
206,"Delhi, India",16-Apr-14,Silver,Bills,F,482394,55,Graduate,Married
207,"Bengaluru, India",21-Feb-14,Signature,Bills,F,718346,59,Post-Graduate,Married
208,"Bengaluru, India",24-Apr-14,Silver,Bills,F,491598,63,Graduate,Married
209,"Delhi, India",07-Sep-14,Platinum,Bills,F,848852,58,College,Married
210,"Bengaluru, India",28-Dec-14,Gold,Bills,F,396139,53,High School,Married
211,"Ahmedabad, India",13-Oct-14,Signature,Bills,F,856974,59,Unknown,Unknown
212,"Ahmedabad, India",03-Apr-15,Signature,Bills,F,855990,52,Graduate,Married
213,"Delhi, India",16-Feb-15,Signature,Bills,F,924776,48,High School,Single
214,"Greater Mumbai, India",03-Apr-14,Signature,Bills,F,204850,43,High School,Married
215,"Delhi, India",03-Nov-13,Platinum,Bills,F,780669,48,College,Single
216,"Greater Mumbai, India",17-Apr-14,Signature,Bills,F,887442,43,Graduate,Single
217,"Delhi, India",22-Jan-14,Signature,Bills,F,297820,44,Unknown,Married
218,"Delhi, India",14-Mar-15,Signature,Bills,F,687879,41,High School,Married
219,"Greater Mumbai, India",13-Oct-13,Silver,Bills,F,738456,44,Uneducated,Divorced
220,"Delhi, India",24-Aug-14,Platinum,Bills,F,378535,50,Unknown,Single
221,"Greater Mumbai, India",09-May-15,Silver,Bills,F,334116,60,Uneducated,Married
222,"Delhi, India",07-Jun-14,Silver,Bills,F,772360,44,Graduate,Single
223,"Ahmedabad, India",26-Nov-14,Gold,Bills,F,580796,48,Graduate,Divorced
224,"Greater Mumbai, India",21-Oct-14,Silver,Bills,F,855465,44,Graduate,Divorced
225,"Greater Mumbai, India",15-Jun-14,Gold,Bills,F,978989,41,High School,Single
226,"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874,45,College,Single
227,"Ahmedabad, India",07-Sep-14,Silver,Bills,F,670750,47,Uneducated,Divorced
228,"Bengaluru, India",19-May-15,Signature,Bills,F,977951,51,Graduate,Married
229,"Delhi, India",23-Feb-14,Platinum,Bills,F,403466,51,Graduate,Married
230,"Delhi, India",28-Oct-13,Signature,Bills,F,861177,60,Uneducated,Married
231,"Ahmedabad, India",17-Dec-14,Gold,Bills,F,528612,57,Unknown,Married
232,"Ahmedabad, India",04-Dec-14,Signature,Bills,F,339670,41,Graduate,Single
233,"Delhi, India",18-Nov-13,Signature,Bills,F,963751,44,Post-Graduate,Divorced
234,"Ahmedabad, India",30-Nov-14,Gold,Bills,F,761930,43,College,Single
235,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,852806,55,College,Married
236,"Delhi, India",25-May-14,Signature,Bills,F,207755,52,Uneducated,Married
237,"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540,44,Graduate,Unknown
238,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,274395,41,Uneducated,Married
239,"Bengaluru, India",11-Feb-14,Platinum,Bills,F,566945,44,Unknown,Single
240,"Ahmedabad, India",09-Dec-14,Gold,Bills,F,705690,53,Unknown,Married
241,"Bengaluru, India",25-Mar-14,Gold,Bills,F,894888,39,High School,Single
242,"Greater Mumbai, India",02-Jan-14,Platinum,Bills,F,811899,49,College,Married
243,"Greater Mumbai, India",25-Dec-14,Silver,Bills,F,677645,45,College,Married
244,"Greater Mumbai, India",16-Oct-14,Platinum,Bills,F,326162,54,Graduate,Married
245,"Delhi, India",19-Apr-15,Platinum,Bills,F,316946,49,Uneducated,Single
246,"Delhi, India",20-Jan-14,Platinum,Bills,F,622373,46,Doctorate,Single
247,"Bengaluru, India",10-May-14,Signature,Bills,F,640653,46,High School,Married
248,"Ahmedabad, India",09-Jan-15,Signature,Bills,F,745493,47,Graduate,Married
249,"Delhi, India",31-Oct-13,Gold,Bills,F,868021,44,Doctorate,Single
250,"Delhi, India",28-Nov-14,Platinum,Bills,F,284923,50,Post-Graduate,Single
251,"Bengaluru, India",21-Jul-14,Platinum,Bills,F,814422,73,High School,Married
252,"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741,56,Unknown,Unknown
253,"Ahmedabad, India",10-Jun-14,Platinum,Bills,F,804560,59,High School,Single
254,"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291,70,High School,Married
255,"Ahmedabad, India",09-Nov-13,Platinum,Bills,F,477553,55,High School,Married
256,"Delhi, India",02-Jan-15,Gold,Bills,F,216028,43,Unknown,Single
257,"Greater Mumbai, India",10-Mar-15,Signature,Bills,F,275427,45,Uneducated,Single
258,"Delhi, India",22-Dec-13,Silver,Bills,F,722048,45,Uneducated,Single
259,"Delhi, India",14-Feb-15,Silver,Bills,F,292365,40,Graduate,Married
260,"Ahmedabad, India",30-Jan-15,Silver,Bills,F,400393,36,College,Unknown
261,"Greater Mumbai, India",01-Apr-14,Platinum,Bills,F,219720,59,Post-Graduate,Married
262,"Delhi, India",15-Feb-15,Signature,Bills,F,981404,43,Unknown,Married
263,"Bengaluru, India",24-Nov-14,Signature,Bills,F,639670,46,Unknown,Married
264,"Bengaluru, India",07-Aug-14,Gold,Bills,F,814333,41,Uneducated,Married
265,"Ahmedabad, India",17-Oct-13,Gold,Bills,F,569582,51,Graduate,Married
266,"Ahmedabad, India",25-May-14,Gold,Bills,F,954111,51,Unknown,Unknown
267,"Ahmedabad, India",16-May-14,Gold,Bills,F,635267,43,Graduate,Divorced
268,"Delhi, India",11-Oct-13,Gold,Bills,F,393651,64,High School,Married
269,"Ahmedabad, India",02-Jun-14,Platinum,Bills,F,572306,54,Graduate,Married
270,"Ahmedabad, India",06-Aug-14,Silver,Bills,F,407647,48,Unknown,Single
271,"Greater Mumbai, India",26-Jan-15,Gold,Bills,F,734396,40,Uneducated,Divorced
272,"Delhi, India",02-Mar-15,Platinum,Bills,F,224414,57,Uneducated,Married
273,"Ahmedabad, India",10-Sep-14,Signature,Bills,F,203194,45,Graduate,Single
274,"Greater Mumbai, India",22-Jan-15,Gold,Bills,F,250410,41,High School,Single
275,"Delhi, India",04-Apr-15,Silver,Bills,F,830697,42,Uneducated,Married
276,"Greater Mumbai, India",16-May-14,Platinum,Bills,F,790800,45,Graduate,Single
277,"Greater Mumbai, India",22-Feb-14,Silver,Bills,F,638570,42,Uneducated,Married
278,"Greater Mumbai, India",13-Aug-14,Silver,Bills,F,380409,47,Uneducated,Divorced
279,"Greater Mumbai, India",01-Apr-14,Gold,Bills,F,601631,48,High School,Married
280,"Ahmedabad, India",08-Jan-14,Gold,Bills,F,690534,43,Graduate,Single
281,"Ahmedabad, India",05-Mar-15,Silver,Bills,F,423661,41,High School,Unknown
282,"Greater Mumbai, India",08-Dec-14,Silver,Bills,F,936294,54,Uneducated,Married
283,"Bengaluru, India",29-Nov-14,Platinum,Bills,F,537050,54,High School,Married
284,"Delhi, India",08-Mar-15,Silver,Bills,F,899343,61,Graduate,Married
285,"Greater Mumbai, India",25-Nov-13,Platinum,Bills,F,834691,61,Uneducated,Married
286,"Ahmedabad, India",13-Apr-15,Silver,Bills,F,240216,48,High School,Married
287,"Greater Mumbai, India",15-Apr-14,Signature,Bills,F,424370,45,Graduate,Single
288,"Delhi, India",13-Feb-15,Silver,Bills,F,593991,54,Graduate,Married
289,"Greater Mumbai, India",02-Oct-14,Signature,Bills,F,768467,54,Doctorate,Married
290,"Delhi, India",07-Feb-15,Gold,Bills,F,781959,44,Graduate,Single
291,"Bengaluru, India",27-Dec-14,Platinum,Bills,F,553907,50,Doctorate,Single
292,"Bengaluru, India",04-Aug-14,Platinum,Bills,F,308622,55,Doctorate,Married
293,"Greater Mumbai, India",05-May-15,Signature,Bills,F,912334,48,Graduate,Unknown
294,"Delhi, India",28-Jan-15,Silver,Bills,F,586474,45,College,Single
295,"Delhi, India",06-Apr-14,Gold,Bills,F,521237,60,High School,Married
296,"Delhi, India",30-Oct-13,Signature,Bills,F,446266,55,High School,Married
297,"Greater Mumbai, India",30-Sep-14,Platinum,Bills,F,511168,62,High School,Married
298,"Bengaluru, India",28-Dec-13,Signature,Bills,F,608438,38,High School,Unknown
299,"Delhi, India",18-Oct-14,Gold,Bills,F,973519,46,High School,Single
300,"Delhi, India",28-Nov-14,Platinum,Bills,F,688577,50,High School,Single
301,"Bengaluru, India",12-May-14,Silver,Bills,F,686619,45,Uneducated,Married
302,"Greater Mumbai, India",06-Nov-14,Signature,Bills,F,255982,47,Post-Graduate,Divorced
303,"Greater Mumbai, India",02-Mar-14,Signature,Bills,F,464656,48,College,Married
304,"Delhi, India",19-Apr-15,Signature,Bills,F,212319,35,Uneducated,Married
305,"Greater Mumbai, India",18-Apr-15,Platinum,Bills,F,307563,51,Graduate,Married
306,"Delhi, India",15-Apr-15,Silver,Bills,F,407564,36,High School,Married
307,"Bengaluru, India",12-Oct-14,Signature,Bills,F,331349,47,Graduate,Single
308,"Delhi, India",14-Apr-15,Silver,Bills,F,391325,52,Graduate,Single
309,"Ahmedabad, India",07-Oct-14,Silver,Bills,F,530244,43,Uneducated,Married
310,"Greater Mumbai, India",16-Apr-14,Signature,Bills,F,668736,63,High School,Married
311,"Bengaluru, India",03-Dec-14,Gold,Bills,F,517448,61,Graduate,Married
312,"Ahmedabad, India",03-Aug-14,Platinum,Bills,F,788531,53,Uneducated,Single
313,"Ahmedabad, India",17-Mar-14,Gold,Bills,F,474729,53,Graduate,Married
314,"Bengaluru, India",16-Jan-15,Platinum,Bills,F,590841,57,Graduate,Married
315,"Greater Mumbai, India",05-Jan-14,Platinum,Bills,F,608427,38,Graduate,Single
316,"Delhi, India",02-May-15,Silver,Bills,F,719835,53,High School,Married
317,"Delhi, India",30-Dec-13,Signature,Bills,F,375139,63,Unknown,Married
318,"Bengaluru, India",19-May-14,Platinum,Bills,F,229589,49,High School,Married
319,"Bengaluru, India",05-Jul-14,Signature,Bills,F,376453,45,High School,Married
320,"Delhi, India",10-Oct-13,Signature,Bills,F,360009,67,Graduate,Married
